source_format,source_field,target_field,transform
OpenSky,target_id,track_id,lower
OpenSky,latest_time,timestamp,int
OpenSky,callsign,identity.callsign,direct
OpenSky,lat,position.lat,safe_float
OpenSky,lon,position.lon,safe_float
OpenSky,altitude,position.alt,safe_float
OpenSky,alt_type,position.alt_type,direct
OpenSky,speed,motion.speed,safe_float
OpenSky,heading,motion.heading,safe_float
OpenSky,vertical_rate,motion.vertical_rate,safe_float
OpenSky,on_ground,status.on_ground,bool
OpenSky,message_valid,quality.message_valid,bool
TeachingLink,target_id,track_id,lower
TeachingLink,timestamp,timestamp,int
TeachingLink,callsign,identity.callsign,direct
TeachingLink,lat,position.lat,safe_float
TeachingLink,lon,position.lon,safe_float
TeachingLink,altitude,position.alt,safe_float
TeachingLink,alt_type,position.alt_type,direct
TeachingLink,speed,motion.speed,safe_float
TeachingLink,heading,motion.heading,safe_float
TeachingLink,vertical_rate,motion.vertical_rate,safe_float
TeachingLink,on_ground,status.on_ground,bool
TeachingLink,message_valid,quality.message_valid,bool
